year,month,state,rto,vehicle_class,fuel,value,unit,note
2020,December,Maharashtra,All Vahan Running Office,MOTOR CAR,PETROL/LPG,58,value in Absolute Number,
2024,August,Punjab,All Vahan Running Office,E-RICKSHAW WITH CART (G),PURE EV,11,value in Absolute Number,
2016,September,Gujarat,All Vahan Running Office,GOODS CARRIER,NOT APPLICABLE,8,value in Absolute Number,
2015,September,Jammu and Kashmir,All Vahan Running Office,MOTOR CAR,PETROL/LPG,28,value in Absolute Number,
2022,June,Maharashtra,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),1012,value in Absolute Number,
2023,September,Uttarakhand,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,72,value in Absolute Number,
2023,January,Kerala,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,ELECTRIC(BOV),1,value in Absolute Number,
2019,May,Tamil Nadu,All Vahan Running Office,GOODS CARRIER,DIESEL,5291,value in Absolute Number,
2015,November,West Bengal,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,51,value in Absolute Number,
2019,April,Lakshadweep,All Vahan Running Office,MOTOR CAR,PETROL,1,value in Absolute Number,
2023,July,Haryana,All Vahan Running Office,MAXI CAB,DIESEL,70,value in Absolute Number,
2023,November,Haryana,All Vahan Running Office,GOODS CARRIER,CNG ONLY,873,value in Absolute Number,
2014,July,Mizoram,All Vahan Running Office,LUXURY CAB,PETROL,1,value in Absolute Number,
2020,August,Himachal Pradesh,All Vahan Running Office,PRIVATE SERVICE VEHICLE,PETROL,2,value in Absolute Number,
2024,December,Andhra Pradesh,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1526,value in Absolute Number,
2016,August,Karnataka,All Vahan Running Office,AGRICULTURAL TRACTOR,PETROL,8,value in Absolute Number,
2023,May,Kerala,All Vahan Running Office,MOTOR CAR,DIESEL,1159,value in Absolute Number,
2024,June,Jharkhand,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),DIESEL,164,value in Absolute Number,
2020,May,Haryana,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,331,value in Absolute Number,
2017,April,Karnataka,All Vahan Running Office,OMNI BUS (PRIVATE USE),NOT APPLICABLE,1,value in Absolute Number,
2019,February,Rajasthan,All Vahan Running Office,MOTOR CAB,DIESEL/HYBRID,11,value in Absolute Number,
2015,October,Delhi,All Vahan Running Office,RECOVERY VEHICLE,CNG ONLY,1,value in Absolute Number,
2016,September,Rajasthan,All Vahan Running Office,OMNI BUS,DIESEL,78,value in Absolute Number,
2023,June,Arunachal Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,16,value in Absolute Number,
2017,November,Tripura,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,1,value in Absolute Number,
2022,February,West Bengal,All Vahan Running Office,LUXURY CAB,DIESEL,23,value in Absolute Number,
2021,February,West Bengal,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),10,value in Absolute Number,
2023,March,Haryana,All Vahan Running Office,MAXI CAB,PETROL/HYBRID,7,value in Absolute Number,
2016,March,Andhra Pradesh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,NOT APPLICABLE,2,value in Absolute Number,
2020,December,Himachal Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,14,value in Absolute Number,
2024,November,Madhya Pradesh,All Vahan Running Office,AMBULANCE,PETROL,20,value in Absolute Number,
2014,October,Chhattisgarh,All Vahan Running Office,TRAILER (AGRICULTURAL),NOT APPLICABLE,523,value in Absolute Number,
